Text,Id,Lenght,Created_at,Source,Favorite_count,Retweet_count,Lang
" @Rightsatbirth: ""What he did was manipulative, dishonest, and coercive. Coerced sex isn2\x80\x99t consensual sex, it is sexual assault. The burd2\x806'",1.1846E+18,140,10/16/2019 22:33,Twitter for Android,0,2,en
"Happy 94th Birthday\0\x9f\x8e\x82 to @_AngelaLansbury  Bedknobs &amp; Broomsticks is still one of my favorite movies.\n\nHere's hoping2\x806 https://t.co/C24mvhyxjL""",1.1846E+18,144,10/16/2019 22:33,Twitter for iPhone,0,0,en
" @RepLoriTrahan: Two years ago #MeToo woke up our nation. It's become part of our national consciousness, demanding better for survivors2\x806""",1.1846E+18,139,10/16/2019 22:33,Twitter for iPhone,0,36,en
 @RituG15: #TimesUp #MeTooVoter  #MenToo #Metoo #Brexit #WednesdayWisdom \nTime has come that laws should be amended so that rampant fake2\x806',1.1846E+18,139,10/16/2019 22:33,Twitter for Android,0,7,en
" @ambertamblyn: Months before MeToo broke us wide open, a man tapped me on the shoulder at a restaurant and said he had read this op-ed I2\x806'",1.1846E+18,140,10/16/2019 22:33,Twitter for iPhone,0,161,en
 @manny_ottawa: What a year on twitter- I2\x80\x99ve seen\n\nLiberal:\n1. Lawyers - defend attack on Rule of Law- #ObstructionOfJustice \n\n2. Feminis2\x806',1.1846E+18,140,10/16/2019 22:33,Twitter Web App,0,100,en
Child Advocate Weighs in on New London School Sex Abuse Investigation - NBC Connecticut https://t.co/YyX7uFzcdO2\x806 https://t.co/vXUL7EVxDP',1.1846E+18,136,10/16/2019 22:33,Twibble.io,0,0,en
" @Rightsatbirth: ""What he did was manipulative, dishonest, and coercive. Coerced sex isn2\x80\x99t consensual sex, it is sexual assault. The burd2\x806'",1.1846E+18,140,10/16/2019 22:32,Twitter for Android,0,2,en
 @socialiststeve6: I would instead tell my 2 daughters . . . \n\nDuring the time of the #MeToo movement it is very very very very very very2\x806',1.1846E+18,140,10/16/2019 22:32,Twitter Web App,0,3,en
" @QueerMinistry: Whether queer in sexuality, gender, culture or  creed: Help Queer Ministry uplift your community in love. We believe fai2\x806'",1.1846E+18,140,10/16/2019 22:32,Twitter for Android,0,2,en
#MeToo and ME TOO https://t.co/yRCnGHz3iA',1.1846E+18,41,10/16/2019 22:31,Twitter for Android,0,0,en
