states,x,y
Andhra Pradesh,-68,-132
Arunachal Pradesh,220,147
Assam,191,103
Bihar,55,84
Chattisgarh,-18,-7
Goa,-165,-124
Gujarat,-208,35
Haryana,-118,157
Himachal Pradesh,-103,215
Jharkhand,44,40
Karnataka,-130,-139
Kerala,-116,-230
Madhya Pradesh,-88,28
Maharashtra,-136,-44
Manipur,209,68
Meghalaya,157,86
Mizoram,189,45
Nagaland,220,99
Orissa,36,-26
Punjab,-134,190
Rajasthan,-167,103
Sikkim,106,124
Tamil Nadu,-83,-209
Telangana,-70,-77
Tripura,167,47
Uttar Pradesh,-36,108
Uttarakhand,-67,177
West Bengal,94,28
